measure_name,value_set_name,value_set_oid,code,codeSystem,codeSystemName,codeSystemVersion,displayName
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99342,2.16.840.1.113883.6.12,CPT,2019,"Home visit for the evaluation and management of a new patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity. Typically, 30 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99343,2.16.840.1.113883.6.12,CPT,2019,"Home visit for the evaluation and management of a new patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 45 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99344,2.16.840.1.113883.6.12,CPT,2019,"Home visit for the evaluation and management of a new patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity. Typically, 60 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99345,2.16.840.1.113883.6.12,CPT,2019,"Home visit for the evaluation and management of a new patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is unstable or has developed a significant new problem requiring immediate physician attention. Typically, 75 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99347,2.16.840.1.113883.6.12,CPT,2019,"Home visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A problem focused interval history; A problem focused examination; Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor. Typically, 15 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99348,2.16.840.1.113883.6.12,CPT,2019,"Home visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: An expanded problem focused interval history; An expanded problem focused examination; Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity. Typically, 25 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99349,2.16.840.1.113883.6.12,CPT,2019,"Home visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A detailed interval history; A detailed examination; Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are moderate to high severity. Typically, 40 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99350,2.16.840.1.113883.6.12,CPT,2019,"Home visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A comprehensive interval history; A comprehensive examination; Medical decision making of moderate to high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. The patient may be unstable or may have developed a significant new problem requiring immediate physician attention. Typically, 60 minutes are spent face-to-face with the patient and/or family."
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99385,2.16.840.1.113883.6.12,CPT,2019,"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, new patient; 18-39 years"
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99386,2.16.840.1.113883.6.12,CPT,2019,"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, new patient; 40-64 years"
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99387,2.16.840.1.113883.6.12,CPT,2019,"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, new patient; 65 years and older"
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99395,2.16.840.1.113883.6.12,CPT,2019,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, established patient; 18-39 years"
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99396,2.16.840.1.113883.6.12,CPT,2019,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, established patient; 40-64 years"
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,99397,2.16.840.1.113883.6.12,CPT,2019,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnostic procedures, established patient; 65 years and older"
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,G0438,2.16.840.1.113883.6.285,HCPCS,2019,"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit"
controlling_high_blood_pressure,Adult Outpatient Visit,2.16.840.1.113883.3.464.1003.101.12.1065,G0439,2.16.840.1.113883.6.285,HCPCS,2019,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit"
controlling_high_blood_pressure,Annual Wellness Visit,2.16.840.1.113883.3.526.3.1240,G0438,2.16.840.1.113883.6.285,HCPCS,2019,"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit"
controlling_high_blood_pressure,Annual Wellness Visit,2.16.840.1.113883.3.526.3.1240,G0439,2.16.840.1.113883.6.285,HCPCS,2019,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit"
controlling_high_blood_pressure,"Chronic Kidney Disease, Stage 5",2.16.840.1.113883.3.526.3.1002,433146000,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Chronic kidney disease stage 5 (disorder)
controlling_high_blood_pressure,"Chronic Kidney Disease, Stage 5",2.16.840.1.113883.3.526.3.1002,585.5,2.16.840.1.113883.6.103,ICD9CM,2013,"Chronic kidney disease, Stage V"
controlling_high_blood_pressure,"Chronic Kidney Disease, Stage 5",2.16.840.1.113883.3.526.3.1002,N18.5,2.16.840.1.113883.6.90,ICD10CM,2019,"Chronic kidney disease, stage 5"
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,108241001,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Dialysis procedure (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,10848006,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Removal of peritoneal dialysis catheter (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,11932001,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Stabilizing hemodialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,14684005,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Peritoneal dialysis excluding cannulation (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,180273006,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Removal of chronic ambulatory peritoneal dialysis catheter (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,225230008,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Chronic peritoneal dialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,225231007,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Stab peritoneal dialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233575001,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Intermittent hemodialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233576000,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Intermittent hemodialysis with sequential ultrafiltration (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233577009,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Intermittent hemodialysis with continuous ultrafiltration (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233578004,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Continuous hemodialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233579007,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Continuous arteriovenous hemodialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233580005,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Continuous venovenous hemodialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233581009,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Hemofiltration (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233582002,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Intermittent hemofiltration (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233583007,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Continuous hemofiltration (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233584001,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Continuous arteriovenous hemofiltration (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233585000,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Continuous venovenous hemofiltration (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233586004,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Hemodiafiltration (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233587008,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Intermittent hemodiafiltration (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233588003,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Continuous hemodiafiltration (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233589006,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Continuous arteriovenous hemodiafiltration (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,233590002,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Continuous venovenous hemodiafiltration (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,238316008,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Aspiration of chronic ambulatory peritoneal dialysis catheter (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,238317004,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Flushing of chronic ambulatory peritoneal dialysis catheter (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,238318009,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Continuous ambulatory peritoneal dialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,238319001,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Continuous cycling peritoneal dialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,238321006,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Intermittent peritoneal dialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,238322004,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Tidal peritoneal dialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,238323009,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Night-time intermittent peritoneal dialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,265764009,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Renal dialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,288182009,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Extracorporeal kidney (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,302497006,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Hemodialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,34897002,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,"Hemodialysis, maintenance in hospital (procedure)"
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,427053002,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Extracorporeal albumin hemodialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,428648006,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Automated peritoneal dialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,439278006,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Measurement of static venous pressure in hemodialysis vascular access (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,439976001,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Measurement of recirculation in hemodialysis vascular access (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,57274006,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Initial hemodialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,676002,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Peritoneal dialysis including cannulation (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,67970008,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,"Hemodialysis, maintenance at home (procedure)"
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,68341005,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,"Hemodialysis, supervision at home (procedure)"
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,71192002,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Peritoneal dialysis (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,714749008,2.16.840.1.113883.6.96,SNOMEDCT,2018-09,Continuous renal replacement therapy (procedure)
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,90935,2.16.840.1.113883.6.12,CPT,2019,Hemodialysis procedure with single evaluation by a physician or other qualified health care professional
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,90937,2.16.840.1.113883.6.12,CPT,2019,Hemodialysis procedure requiring repeated evaluation(s) with or without substantial revision of dialysis prescription
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,90940,2.16.840.1.113883.6.12,CPT,2019,Hemodialysis access flow study to determine blood flow in grafts and arteriovenous fistulae by an indicator method
controlling_high_blood_pressure,Dialysis Services,2.16.840.1.113883.3.464.1003.109.12.1013,90945,2.16.840.1.113883.6.12,CPT,2019,"Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies), with single evaluation by a physician or other qualified health care professional"
